orderid,Qty,sku
11127397PUU9C3DF01,1,BabyLeggings- Black-2-4Y
1228435QIS14B2B67,1,BabyLeggings- Black-2-4Y
16535968IBK32BF782,1,BabyLeggings- Black-2-4Y
18105837SUBE6EE18C,1,BabyLeggings- Black-2-4Y
5300218XZFCD824D4,1,BabyLeggings- Black-2-4Y
11132391ZFZ26D580B,1,BabyLeggings- Black-6-12M
13898197XKNF75DCF3,1,BabyLeggings- Black-6-12M
31769285YMBD708185,,nan
35031848BTHE82AAB3,1,BabyLeggings- Black-6-12M
5695169YUN8978B0F,1,BabyLeggings- Black-6-12M
13990659FKY1D4CBBB,1,BabyLeggings- White-6-12M
23771766MVJA18419C,1,BabyLeggings- White-6-12M
30098159ATG8CCB90B,1,BabyLeggings- White-6-12M
30564754INH94E6C5A,1,BabyLeggings- White-6-12M
30650757RLFC151AF4,1,BabyLeggings- White-6-12M
19951520YPMB200E1E,1,BottleRack_Pink
34052530NCW08ECBF6,,nan
35044802WYA73D8C38,1,BottleRack_Pink
35673412QNRA139A81,1,BottleRack_Pink
7767376TIT222C91C,1,BottleRack_Pink
12859586TKQ735B729,1,ChildrenBackpack- GirlThree
13532724RSS64404EB,1,ChildrenBackpack- GirlThree
22683654PAZ13806DC,1,ChildrenBackpack- GirlThree
35496296EUK7CAA99B,1,ChildrenBackpack- GirlThree
7693273EJYF448B37,1,ChildrenBackpack- GirlThree
11792437HCPE82EB4C,1,Goggles- TriangleCorner-White
17755966YCH38C6F8F,1,Goggles- TriangleCorner-White
32690417VPP2E605BE,1,Goggles- TriangleCorner-White
34964331UMQED85911,1,Goggles- TriangleCorner-White
8060608GTPC090939,1,Goggles- TriangleCorner-White
13267039XLCE5416FA,1,HeadBand- DoubleFlower-LightPink
32806456VBX3229C0C,1,HeadBand- DoubleFlower-LightPink
33150831IJKA6B016B,1,HeadBand- DoubleFlower-LightPink
33529448MXC71FA838,1,HeadBand- DoubleFlower-LightPink
8880606HOBCEEA1EB,1,HeadBand- DoubleFlower-LightPink
14147515CPZ30E1617,1,S_BabySocks_GreyPuppy
22386261BUI056E773,1,S_BabySocks_GreyPuppy
31612054KXP51F09C3,1,S_BabySocks_GreyPuppy
33476919VMLBAF7E3C,1,S_BabySocks_GreyPuppy
34486316GKE61C62A4,1,S_BabySocks_GreyPuppy
24264145QQL0B9D184,1,Safety Strip Guard Protector_Brown
30120036XPP882601B,,nan
30348761EQG4AF3473,1,Safety Strip Guard Protector_Brown
30947683SQRB85DB65,1,Safety Strip Guard Protector_Brown
8100449HQM86F683E,1,Safety Strip Guard Protector_Brown
13923483RJT8793E0F,1,SOCKS-SET5-DARK- THEME
22352724KSCD00F6F6,1,SOCKS-SET5-DARK- THEME
31309490NWUA2A0134,1,SOCKS-SET5-DARK- THEME
32240890LLL2F808C7,1,SOCKS-SET5-DARK- THEME
35569008NUGA433645,1,SOCKS-SET5-DARK- THEME
32690793KITE2C650B,1,BS-03
25090632SQY8B6455E,1,nan
30615444EKG1509C0F,,nan
12414697KWN00796CC,5,BS-06
10923315WTG80923CB,1,BS-76
17327426KVO6FB0AA9,1,M_BabySocksSet 3
7131396XWK89EAE8F,2,ChildrenBackpack- DianosaurOne
18546499TBT2FE3338,1,ChildrenBackpack- GirlThree
5685645OKH89E0721,1,SCHOOLBAG-11
10145531XEP0EE566A,2,ChildrenBag- Dinosaur-Blue
32792539RFYEF36F6B,1,ChildrenSmallBag- PinkBunny
31682021HWVF0E275F,1,TransparentCorner- LShape-4
5513101HEXF53E472,1,Safety Strip Guard Protector_Brown
32648095ZXP64EF3EF,1,PlugCombo_8
32648095ZXP64EF3EF,1,PlugCombo_8
15127804AMK2632236,1,CutePuppyCap_Pink
21356267MMTAA4EF09,1,S_BabySocksSet 4
20165886BJUC333CC7,1,WC-49
32342299IEC64F41A4,1,PlainCap_Gray
33355977BKB5BE09A3,1,PlainCap_Gray
33801569DVD8E3E2BB,1,CutePuppyCap_Pink
34823314PXA9CF0AC9,1,S_BabySocksSet 1
23290652XFL74B91BA,1,WC-38
12212156DHE74C89F1,1,L_BabySocks_Tigger-0-8 Years
18082251EECE843BF7,1,FlowerHat_Red
20628693NGW24F5542,1,Goggles-EarTie- Pink
14028917QNUBAD64EE,1,Sunglasses-Round- GoldenFrame
11828022OSKBF6566C,2,Goggles-Round- BlackFrame&GreyFilms
35660914DHK78DD032,1,HairRing100-5106
9284411DEX782F58D,1,HairRingZipper- FiveColours-100
35076761QNF849C518,1,HeadBand-Nylon- White
19317992UWO3B8BBE0,1,HeadBand-Nylon- White
30878584ROID46D584,2,L_BabySocks_SweetBunny-0-8 Years
33207401YYT18E886C,1,Lining Strip Guard Protector_White
31912174JFU561760E,1,LoveMeMore_Grey
31278856JNF19AA490,1,WC-37
151909KSM36159F3,1,M_BabySocksSet 5
35681321WRE4CC675F,2,PencilStandBag- 6874Blue
16812265TWG39B8574,1,PlainCap_Gray
22437065QSB5F0F704,1,SK-10
31153061FZAC1692BC,1,PrintedFlowerHat- Beige&Pink
19080335SCDD719654,1,PrintedFlowerHat- Yellow
34172106MGR224BB5D,1,S_BabySocksSet 4
33173396MNQFE35B8B,1,S_BabySocksSet 4
33270064QLT52B8155,1,SOCKS-SET5-DARK- THEME
30865759PPGB0352FB,,nan
31609892QFJ176BC14,3,Safety Strip Guard Protector_Brown
1784108EAE433122B,,nan
21251919YVB2D96F06,1,SK-10
24126826XXAB8B34E4,2,SK-01
